iteration,top1,param_name,normalized_macs,total_macs
1,86.91,module.layer2.1.conv1.weight,0.9890909090909091,40108032
2,87.1,module.layer1.2.conv2.weight,0.9836363636363636,39886848
3,87.65,module.layer3.1.conv2.weight,0.9727272727272728,39444480
4,86.57000000000001,module.layer3.0.conv1.weight,0.9645454545454546,39112704
5,87.21,module.layer1.0.conv2.weight,0.9572727272727273,38817792
6,87.42,module.layer1.0.conv2.weight,0.95,38522880
7,87.29,module.layer2.1.conv2.weight,0.9396022727272727,38101248
8,87.17,module.layer1.0.conv1.weight,0.9327840909090909,37824768
9,87.02,module.layer2.0.conv2.weight,0.9223863636363636,37403136
10,86.82,module.layer3.2.conv1.weight,0.9119886363636364,36981504
11,87.14999999999999,module.layer2.2.conv2.weight,0.9040625,36660096
12,87.11,module.layer2.2.conv1.weight,0.8941761363636364,36259200
13,87.22,module.layer1.0.conv1.weight,0.8873579545454545,35982720
14,87.05000000000001,module.layer1.2.conv2.weight,0.8819034090909091,35761536
15,87.56,module.layer1.0.conv1.weight,0.8750852272727273,35485056
16,86.83,module.layer1.2.conv1.weight,0.8682670454545455,35208576
17,86.92,module.layer1.2.conv1.weight,0.8614488636363636,34932096
18,86.94,module.layer1.2.conv1.weight,0.8546306818181818,34655616
19,87.19,module.layer3.0.conv1.weight,0.8480255681818182,34387776
20,87.22,module.layer3.0.conv2.weight,0.8380539772727272,33983424
21,86.46000000000001,module.layer3.2.conv2.weight,0.8331107954545455,33782976
22,87.09,module.layer2.2.conv1.weight,0.8265198863636364,33515712
23,86.94999999999999,module.conv1.weight,0.8228835227272727,33368256
24,86.32,module.layer3.0.conv2.weight,0.8145738636363636,33031296
25,86.4,module.layer2.0.conv2.weight,0.8076420454545454,32750208
26,86.14999999999999,module.layer2.2.conv1.weight,0.8010511363636363,32482944
27,86.84,module.layer1.1.conv2.weight,0.7944602272727272,32215680
28,86.18,module.layer1.0.conv2.weight,0.7878693181818182,31948416
29,86.64,module.layer3.2.conv2.weight,0.78375,31781376
30,87.3,module.layer3.1.conv2.weight,0.7750852272727272,31430016
31,86.76,module.layer2.1.conv1.weight,0.7687215909090909,31171968
32,86.43,module.layer2.1.conv1.weight,0.7623579545454545,30913920
33,86.76,module.layer1.2.conv1.weight,0.7557670454545454,30646656
34,87.21,module.layer1.1.conv1.weight,0.7494034090909091,30388608
35,86.64,module.layer1.2.conv1.weight,0.7428125,30121344
36,87.14,module.layer3.1.conv2.weight,0.7341477272727273,29769984
37,86.56,module.layer2.1.conv2.weight,0.7284659090909091,29539584
38,86.38,module.layer3.0.conv1.weight,0.7226420454545455,29303424
39,86.86,module.layer1.2.conv2.weight,0.7183238636363637,29128320
40,86.67,module.layer2.1.conv2.weight,0.7126420454545455,28897920
41,86.57000000000001,module.layer1.2.conv1.weight,0.7062784090909091,28639872
